,index,sessionid,next,userHash,latitude,longitude,connectionType,platformType,country_code
0,762212,-9222766980438305802,False,-9102495143376997791,41.8183,-87.6095,2,7,us
1,1136757,-9222000346158437530,False,3815087660763149607,32.8685,-97.2863,2,7,us
2,763082,-9221499073410237622,False,5362131968915420490,53.1659,-1.2113,2,7,gb
3,763390,-9221266712617725231,False,-757974270091717420,41.8904,12.5126,1,7,it
4,763380,-9221266712617725231,True,-757974270091717420,41.8904,12.5126,1,7,it
5,761857,-9221216468857363620,False,-807702928420421476,19.4588,-99.2578,2,4,mx
6,759529,-9220910205973241314,False,-4792161209807875585,24.144,120.6844,2,4,tw
7,761210,-9220025044315788835,False,7723187159016220983,38.1176,-86.9245,2,7,us
8,1136408,-9217779750507134191,False,-5376148706296556815,24.9389,121.5422,2,4,tw
9,1136319,-9217779750507134191,True,-5376148706296556815,24.9389,121.5422,2,4,tw
10,762925,-9216595183381493514,False,-7929171161401690438,53.1447,8.9003,2,5,de
11,289315,-9216544692736712906,False,3201698728542134698,55.8486,-4.2216,2,7,gb
12,760577,-9215290556041125693,False,-2982618909363293175,-41.3675,174.7153,2,7,nz
13,882777,-9214519254449692591,False,8423944733135078558,30.2944,-89.815,1,1,us
14,882581,-9214519254449692591,True,8423944733135078558,30.2944,-89.815,1,1,us
15,13608,-9214329853984816792,False,-8931959616319302551,41.886,-71.3457,2,7,us
16,761474,-9212057148139746676,False,7578914738267842635,4.6351,-74.0703,2,7,co
17,249248,-9212033114856777973,False,-7670491561024205841,36.9201,-76.2122,1,5,us
18,759761,-9210743895497126225,False,42949313805150167,40.0881,-74.1963,2,7,us
19,761025,-9210614193292243303,False,-7314622990915858421,40.8627,-73.6351,1,5,us
20,761626,-9210243286893602745,False,-4367685611376641767,41.0429,-74.1004,2,7,us
21,364125,-9208286049748683812,False,-1565963210944866555,51.3986,-0.3473,1,7,gb
22,364118,-9208178178689667298,False,8800598211479180928,38.2676,140.87,1,1,jp
23,761392,-9208170788057145414,False,-8292009960547380055,13.6769,-89.2797,2,4,sv
24,9715,-9207148177807427287,False,-1990239657272404889,18.3861,-66.0434,1,5,us
25,760405,-9204743841602333881,False,-1711892458042585565,26.517,-80.0841,1,1,us
26,1136457,-9204632085314078082,False,7576399839805344061,31.6182,-106.3822,2,4,mx
27,1136322,-9204632085314078082,True,7576399839805344061,31.6182,-106.3822,2,4,mx
28,763525,-9203832314038644857,False,5810449182421635583,34.9091,137.1298,2,5,jp
29,9812,-9203763488226765935,False,3776549239946478101,41.2615,-95.8304,2,7,us
30,760157,-9203584531402215604,False,8225749799327636680,34.1211,-117.4362,2,1,us
31,759855,-9203537313748274736,False,507230406611067713,41.028,-75.978,2,7,us
32,882839,-9202786721453343073,False,-372270807622312858,35.6096,139.7283,2,4,jp
33,882837,-9202786721453343073,True,-372270807622312858,35.6096,139.7283,2,4,jp
34,760895,-9202022868669644650,False,4528225719902940763,43.5991,2.2413,2,5,fr
35,189028,-9200507052637751834,False,4731889935488525383,24.6569,46.7179,2,5,sa
36,762817,-9200056366578306653,False,5111971577090481051,38.731,-9.1373,1,1,pt
37,762687,-9198354042101986148,False,1816573525750392338,43.3115,-73.6448,2,5,us
38,763522,-9197924632139370306,False,-5349833904995771612,35.4346,139.6483,1,5,jp
39,760951,-9196758825663006383,False,-8449113015118119822,51.4899,3.891,1,5,nl
40,763084,-9194765294607034264,False,8555421715387433280,36.0812,138.0535,2,4,jp
41,763120,-9194765294607034264,True,8555421715387433280,36.0812,138.0535,2,4,jp
42,762340,-9194139078303106633,False,-3182788364293890894,38.6273,-76.9859,2,4,us
43,762342,-9194139078303106633,True,-3182788364293890894,38.6273,-76.9859,2,4,us
44,13532,-9194024674888606751,False,9138713626166526556,40.0711,-75.2051,2,7,us
45,763238,-9193082027485925758,False,1765390940151934588,43.5428,10.3298,2,1,it
46,759966,-9192817946938793792,False,-5747456923812554641,32.296,-81.2354,2,5,us
47,759894,-9192069587362828686,False,5624526314817077476,41.2327,-96.1138,1,1,us
48,761776,-9190727212840903326,False,5899440063892720620,44.2454,-76.5813,1,1,ca
49,248807,-9189275679431149727,False,-7711155670030362925,41.8018,-87.5993,2,5,us
50,364112,-9188674412523632588,False,-4197578196279549371,43.0763,141.3654,1,1,jp
51,363831,-9188674412523632588,True,-4197578196279549371,43.0763,141.3654,1,1,jp
52,760216,-9188383577655450281,False,-8133737833899003531,48.8607,2.3281,1,1,fr
53,735799,-9187602820708288514,False,7742412132821705824,33.9553,-117.2457,1,7,us
54,288959,-9187040961500436187,False,-137834984084494568,40.7706,-80.3576,2,1,us
55,288970,-9187040961500436187,True,-137834984084494568,40.7706,-80.3576,2,1,us
56,761277,-9184445110149210188,False,1793045920328034985,25.7703,-80.2072,2,5,us
57,760775,-9184322171528505073,False,-1046150812203424023,47.1691,-122.5065,2,7,us
58,760974,-9184225915425592118,False,932640982167758533,35.6897,139.6895,1,5,jp
59,1136775,-9183396475233177641,False,-896344042815704384,33.5038,-112.0253,2,7,us
60,1136781,-9183396475233177641,True,-896344042815704384,33.5038,-112.0253,2,7,us
61,762968,-9182762184302177761,False,-3201834610230592097,41.8904,12.5126,1,5,it
62,763133,-9181171017496760003,False,4466652809499438897,35.4578,139.546,2,5,jp
63,760458,-9180525638812136612,False,3587229303543971335,34.3914,-77.6597,2,7,us
64,189408,-9179615594625593115,False,-9005200539326720793,27.9139,-15.4314,1,5,es
65,762856,-9179448643114856565,False,8733312481806496597,52.4077,4.6343,1,1,nl
66,9453,-9179247829930139508,False,-2853849237318925627,36.0344,-114.9705,2,4,us
67,762370,-9176409684049602221,False,154782318369467035,41.6078,-87.7524,2,4,us
68,760031,-9176281205455950271,False,9205264777757890260,40.7416,-84.1522,1,5,us
69,1136391,-9175908442966164214,False,8001426963366812451,-26.2659,-48.9987,2,1,br
70,1136314,-9175908442966164214,True,8001426963366812451,-26.2659,-48.9987,2,1,br
71,761439,-9175669234920928099,False,-1909325954048464267,40.3626,-83.7565,1,5,us
72,763273,-9174510769118212297,False,6515303573866220405,47.4704,-0.5463,2,4,fr
73,761344,-9172869861416195217,False,8476090495232326571,36.1053,-79.8762,1,1,us
74,763330,-9172806262544334109,False,-3514038055318284818,48.6822,6.1862,1,5,fr
75,1136132,-9172336476191827779,False,5850263001333855633,33.4485,-82.2011,1,7,us
76,1136114,-9172336476191827779,True,5850263001333855633,33.4485,-82.2011,1,7,us
77,763128,-9171928972395884762,False,-6260317313577334074,34.5017,135.5908,2,4,jp
78,763123,-9171928972395884762,True,-6260317313577334074,34.5017,135.5908,2,4,jp
79,9405,-9169115119408087664,False,-6975034429794885576,33.9098,-118.0714,1,1,us
80,9424,-9169115119408087664,True,-6975034429794885576,33.9098,-118.0714,1,1,us
81,189265,-9166127130031843485,False,-3798869074135379106,39.4602,-0.4598,1,7,es
82,763457,-9165710302928424163,False,6222677697249829008,13.7594,100.4889,1,1,th
83,760663,-9165303509898433932,False,8927792026572140544,32.7104,-117.0528,1,5,us
84,760606,-9163950847188000779,False,1502504058951081505,43.5885,-116.1918,1,7,us
85,1136410,-9163301212138635362,False,8878581022865827097,43.6129,143.2103,2,4,jp
86,1136320,-9163301212138635362,True,8878581022865827097,43.6129,143.2103,2,4,jp
87,364106,-9163142323216104727,False,7024230169833062702,34.2149,-119.1761,1,1,us
88,363725,-9163142323216104727,True,7024230169833062702,34.2149,-119.1761,1,1,us
89,230173,-9162182941438820719,False,-8452030321523291926,40.544,-74.3521,1,1,us
90,761653,-9161895671676386558,False,5476752068780797332,32.799,-96.956,2,1,us
91,289183,-9161431498223406086,False,1091846256454571357,42.9595,1.612,2,4,fr
92,289216,-9161431498223406086,True,1091846256454571357,42.9595,1.612,2,4,fr
93,762302,-9161245170517371458,False,-7867511387610605908,-0.2143,-78.5017,2,1,ec
94,762297,-9161245170517371458,True,-7867511387610605908,-0.2143,-78.5017,2,1,ec
95,761557,-9160486027178760761,False,-8577772758917010699,33.9332,-83.3536,2,7,us
96,762413,-9159977297835366473,False,-8969034497483560229,34.0259,-80.9547,2,5,us
97,763165,-9159881901969454664,False,-800491931738914268,50.9298,6.9489,1,1,de
98,364119,-9159290914570113915,False,4469308469516902991,-37.8109,144.9544,2,7,au
99,760759,-9158879524363803576,False,-535091940378069994,19.4354,-99.1427,1,7,mx
100,762242,-9158859366303977306,False,-3644559369771656992,33.1047,-96.0927,1,7,us
101,289289,-9158783504410821219,False,-7246981490813269918,26.4336,50.1116,1,7,sa
102,289276,-9158783504410821219,True,-7246981490813269918,26.4336,50.1116,1,7,sa
103,85528,-9158666313808204147,False,4816634334115315654,29.6584,-98.4987,2,7,us
104,85496,-9158666313808204147,True,4816634334115315654,29.6584,-98.4987,2,7,us
105,288992,-9158449371276988713,False,6161570636379658430,34.0964,-117.8582,1,1,us
106,289042,-9158449371276988713,True,6161570636379658430,34.0964,-117.8582,1,1,us
